GFORCEX,GFORCEY,GFORCEZ,ROT_X,ROT_Y,ROT_Z,GSR,HEARTRATE,SpO2 %,AMB TEMP MLX, OBJ TEMP MLX
-0.23,-0.04,0.88,-16.87,-1.11,-2.22,512,0,0,26.23,24.39
-0.23,-0.05,0.86,-16.99,-1.12,-2.21,498,0,0,26.23,24.35
-0.23,-0.05,0.87,-16.99,-0.95,-2.2,497,0,0,26.23,24.33
-0.23,-0.06,0.87,-16.75,-1.03,-2.22,517,0,0,26.23,24.33
-0.23,-0.06,0.88,-16.63,-1.25,-2.11,501,0,0,26.23,24.33
-0.23,-0.05,0.88,-16.87,-1.18,-2.06,548,0,0,26.21,24.33
-0.23,-0.05,0.87,-16.75,-1.01,-2.15,536,0,0,26.23,24.27
-0.23,-0.05,0.88,-16.99,-0.94,-2.18,500,0,0,26.23,24.27
-0.23,-0.05,0.87,-16.99,-1.15,-2.08,505,0,0,26.23,24.27
-0.23,-0.05,0.88,-16.99,-1.11,-2.05,494,0,0,26.21,24.21
-0.23,-0.05,0.89,-16.87,-0.98,-2.2,505,0,0,26.21,24.15
-0.23,-0.05,0.87,-17.11,-1.02,-2.13,519,0,0,26.23,24.15
-0.22,-0.04,0.87,-16.75,-1.08,-2.09,498,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.75,-1.06,-2.12,553,0,0,26.21,24.09
-0.23,-0.05,0.88,-16.5,-1.15,-2.03,537,0,0,26.21,24.11
-0.23,-0.05,0.87,-17.11,-1.22,-2.09,517,0,0,26.23,24.09
-0.23,-0.05,0.87,-16.87,-1.08,-2.24,508,0,0,26.23,24.17
-0.23,-0.05,0.86,-16.87,-0.98,-2.1,501,0,0,26.21,24.17
-0.23,-0.05,0.88,-16.75,-0.98,-2.05,499,0,0,26.23,24.17
-0.23,-0.05,0.87,-16.5,-1.1,-2.08,539,0,0,26.23,24.17
-0.23,-0.05,0.87,-17.11,-0.96,-2.2,544,0,0,26.23,24.21
-0.23,-0.05,0.88,-17.11,-0.99,-2.29,501,0,0,26.23,24.21
-0.23,-0.06,0.87,-16.75,-0.98,-2.19,524,0,0,26.23,24.21
-0.23,-0.05,0.88,-16.87,-0.95,-2.16,506,0,0,26.23,24.23
-0.22,-0.05,0.87,-16.99,-0.94,-2.08,503,0,0,26.23,24.21
-0.23,-0.06,0.87,-16.99,-1.14,-2.18,506,0,0,26.23,24.23
-0.23,-0.05,0.87,-16.99,-1.07,-2.21,499,0,0,26.23,24.21
-0.22,-0.05,0.87,-16.87,-1.06,-2.12,552,0,0,26.23,24.17
-0.23,-0.05,0.87,-16.87,-1.08,-2.07,542,0,0,26.23,24.17
-0.23,-0.05,0.88,-16.87,-1.11,-2.13,498,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.63,-1.05,-2.05,520,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.99,-1.2,-2.24,502,0,0,26.23,24.15
-0.23,-0.05,0.88,-16.99,-1.31,-1.99,498,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.75,-1.03,-2.14,507,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.75,-1,-2.08,499,0,0,26.23,24.15
-0.23,-0.05,0.88,-16.87,-1,-2.18,553,0,0,26.23,24.15
-0.22,-0.05,0.87,-16.99,-1.06,-2.2,545,0,0,26.23,24.15
-0.22,-0.05,0.88,-17.11,-0.92,-2.15,500,0,0,26.23,24.15
-0.22,-0.05,0.88,-16.87,-1.02,-2.27,514,0,0,26.21,24.17
-0.23,-0.05,0.88,-16.99,-1.2,-2.16,498,0,0,26.21,24.15
-0.22,-0.05,0.88,-17.11,-0.98,-2.26,498,0,0,26.23,24.21
-0.23,-0.05,0.87,-16.99,-0.95,-2.01,515,0,0,26.21,24.21
-0.23,-0.05,0.87,-16.87,-1.18,-2.14,498,0,0,26.21,24.17
-0.23,-0.05,0.88,-16.75,-1.04,-2.23,551,0,0,26.21,24.17
-0.23,-0.05,0.88,-16.75,-1.05,-2.06,538,0,0,26.21,24.17
-0.23,-0.05,0.87,-16.87,-0.99,-2.12,498,0,0,26.21,24.15
-0.23,-0.05,0.88,-16.75,-0.99,-2.15,508,0,0,26.23,24.15
-0.23,-0.05,0.88,-16.75,-1.1,-2.21,501,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.75,-1.08,-2.19,504,0,0,26.23,24.15
-0.22,-0.05,0.87,-16.99,-0.98,-2.15,516,0,0,26.23,24.15
-0.23,-0.05,0.87,-16.99,-1.03,-2.11,497,0,0,26.21,24.11
-0.23,-0.05,0.88,-16.99,-1.1,-2.2,552,0,0,26.21,24.05
-0.23,-0.05,0.87,-16.99,-1.17,-2.08,537,0,0,26.21,24.03
-0.23,-0.05,0.86,-16.87,-1.02,-2.15,499,0,0,26.23,24.03
-0.23,-0.05,0.88,-17.11,-1,-1.99,500,0,0,26.21,24.03
-0.23,-0.05,0.87,-17.11,-1.15,-2.23,497,0,0,26.21,23.99
-0.23,-0.05,0.87,-16.87,-0.8,-2.15,509,0,0,26.23,24.03
-0.22,-0.05,0.87,-16.87,-1,-1.92,524,0,0,26.21,23.99
-0.22,-0.05,0.87,-16.99,-0.99,-2.11,501,0,0,26.21,23.99
-0.23,-0.05,0.87,-16.63,-1.27,-2.1,555,0,0,26.21,24.03
-0.22,-0.05,0.88,-16.75,-1.02,-2.11,528,0,0,26.23,24.05
-0.22,-0.05,0.88,-16.99,-0.89,-2.05,496,0,0,26.23,24.09
-0.23,-0.05,0.88,-16.99,-1.05,-2.28,502,0,0,26.23,24.11
-0.23,-0.05,0.87,-16.99,-0.96,-2.08,500,0,0,26.21,24.11
-0.23,-0.05,0.88,-16.75,-1.08,-2.14,518,0,0,26.21,24.11
-0.23,-0.05,0.88,-16.75,-1.21,-2.22,533,0,0,26.21,24.11
-0.23,-0.05,0.88,-16.75,-0.94,-2.21,497,0,0,26.21,24.15
-0.23,-0.05,0.88,-16.87,-1.02,-2.06,547,0,0,26.21,24.11
-0.23,-0.05,0.86,-17.11,-1.11,-2.23,516,0,0,26.23,24.15
-0.23,-0.05,0.86,-16.99,-1.22,-2.21,496,0,0,26.23,24.17
-0.23,-0.05,0.88,-16.87,-1.15,-2.24,496,0,0,26.21,24.15
-0.23,-0.05,0.87,-16.87,-1.2,-2.26,498,0,0,26.23,24.11
-0.23,-0.05,0.87,-16.87,-1.07,-2.29,529,0,0,26.21,24.15
-0.23,-0.05,0.86,-16.99,-1.03,-2.15,545,0,0,26.21,24.15
-0.23,-0.04,0.88,-16.75,-1.06,-2.22,501,0,0,26.21,24.15
-0.23,-0.05,0.87,-16.75,-1.06,-2.2,537,0,0,26.21,24.15
-0.23,-0.05,0.88,-16.99,-1.08,-2.23,513,0,0,26.21,24.17
-0.23,-0.05,0.88,-16.75,-1.02,-2.11,501,0,0,26.21,24.15
-0.22,-0.05,0.88,-16.87,-1.24,-2.1,502,0,0,26.23,24.15
-0.22,-0.05,0.87,-16.87,-1.15,-2.01,499,0,0,26.23,24.11
-0.23,-0.04,0.87,-16.63,-0.98,-2.05,533,0,0,26.23,24.09
-0.23,-0.05,0.87,-16.75,-1.18,-2.24,541,0,0,26.23,24.11
