GFORCEX,GFORCEY,GFORCEZ,ROT_X,ROT_Y,ROT_Z,GSR,HEARTRATE,SpO2 %,AMB TEMP MLX, OBJ TEMP MLX
-0.05,-0.06,0.89,-21.02,-1.01,-2.22,500,0.0,0.0,24.63,24.83
-0.05,-0.06,0.89,-21.02,-1.11,-2.17,500,0.0,0.0,24.63,24.83
-0.05,-0.06,0.89,-21.02,-1.24,-2.15,502,0.0,0.0,24.63,24.77
-0.05,-0.06,0.89,-21.27,-0.96,-1.99,505,0.0,0.0,24.63,24.83
-0.05,-0.06,0.88,-20.78,-0.86,-2.13,508,0.0,0.0,24.63,24.81
-0.05,-0.06,0.89,-21.27,-0.91,-2.21,500,0.0,0.0,24.63,24.83
-0.05,-0.06,0.89,-21.02,-0.71,-2.27,512,0.0,0.0,24.63,24.83
-0.05,-0.06,0.89,-21.02,-1.14,-2.17,512,0.0,0.0,24.59,24.87
-0.05,-0.06,0.88,-21.02,-0.92,-2.06,506,0.0,0.0,24.63,24.87
-0.05,-0.06,0.88,-20.9,-1.07,-2.18,515,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-21.15,-1.05,-2.13,505,0.0,0.0,24.63,24.89
-0.06,-0.06,0.88,-21.15,-0.97,-2.33,500,0.0,0.0,24.63,24.89
-0.05,-0.06,0.88,-21.02,-1.08,-2.08,503,0.0,0.0,24.63,24.87
-0.05,-0.06,0.9,-20.9,-1.08,-2.05,504,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-20.9,-0.8,-2.19,505,0.0,0.0,24.59,24.83
-0.05,-0.07,0.89,-20.9,-1.21,-2.27,502,0.0,0.0,24.59,24.83
-0.05,-0.06,0.89,-21.15,-1.02,-2.33,498,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-20.9,-1.01,-2.31,506,0.0,0.0,24.63,24.89
-0.05,-0.06,0.88,-21.02,-1.16,-2.06,512,0.0,0.0,24.59,24.87
-0.05,-0.06,0.9,-21.27,-1.21,-2.15,505,0.0,0.0,24.63,24.83
-0.05,-0.06,0.89,-21.02,-0.97,-2.02,513,0.0,0.0,24.59,24.87
-0.05,-0.06,0.9,-21.02,-1.15,-2.18,510,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-20.78,-1.08,-2.28,499,0.0,0.0,24.59,24.83
-0.05,-0.05,0.88,-21.02,-1.06,-2.3,512,0.0,0.0,24.63,24.83
-0.05,-0.07,0.88,-21.15,-1.11,-2.12,508,0.0,0.0,24.63,24.89
-0.05,-0.06,0.89,-20.9,-1.13,-2.18,502,0.0,0.0,24.59,24.87
-0.05,-0.06,0.9,-21.15,-1.21,-2.27,500,0.0,0.0,24.63,24.89
-0.05,-0.07,0.89,-20.9,-1.17,-2.03,501,0.0,0.0,24.63,24.89
-0.05,-0.06,0.89,-21.02,-1.05,-2.04,505,0.0,0.0,24.59,24.83
-0.05,-0.06,0.89,-21.02,-1.06,-2.06,507,0.0,0.0,24.59,24.87
-0.06,-0.06,0.89,-21.27,-1.04,-1.92,503,0.0,0.0,24.63,24.87
-0.06,-0.06,0.89,-21.02,-1.15,-2.24,510,0.0,0.0,24.63,24.87
-0.05,-0.05,0.89,-21.15,-0.97,-2.24,510,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-21.27,-1.21,-2.26,504,0.0,0.0,24.63,24.87
-0.05,-0.06,0.88,-21.27,-0.98,-2.23,516,0.0,0.0,24.59,24.83
-0.05,-0.06,0.89,-21.27,-1.2,-2.24,510,0.0,0.0,24.59,24.83
-0.05,-0.06,0.89,-21.27,-0.94,-2.04,499,0.0,0.0,24.59,24.83
-0.05,-0.07,0.88,-21.15,-1.1,-2.2,502,0.0,0.0,24.59,24.81
-0.05,-0.06,0.89,-21.27,-0.75,-2.11,503,0.0,0.0,24.63,24.81
-0.05,-0.05,0.88,-21.02,-1.27,-2.27,504,0.0,0.0,24.59,24.83
-0.05,-0.06,0.9,-20.9,-0.96,-2.4,504,0.0,0.0,24.59,24.81
-0.05,-0.06,0.88,-21.39,-0.94,-2.18,499,0.0,0.0,24.63,24.81
-0.05,-0.06,0.88,-21.02,-0.98,-2.3,504,0.0,0.0,24.59,24.83
-0.04,-0.05,0.89,-21.02,-1.33,-2.24,509,0.0,0.0,24.59,24.83
-0.05,-0.06,0.88,-21.02,-1.15,-2.3,502,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-21.15,-1.24,-2.21,515,0.0,0.0,24.59,24.87
-0.05,-0.06,0.89,-20.9,-0.87,-1.97,509,0.0,0.0,24.59,24.87
-0.05,-0.07,0.88,-21.02,-1.1,-2.24,500,0.0,0.0,24.59,24.83
-0.05,-0.06,0.88,-21.02,-1.12,-2.14,512,0.0,0.0,24.63,24.87
-0.05,-0.05,0.88,-21.51,-1.02,-2.03,509,0.0,0.0,24.63,24.87
-0.05,-0.06,0.89,-21.27,-1.09,-2.15,504,0.0,0.0,24.59,24.87
-0.05,-0.06,0.88,-21.02,-1.08,-2.23,501,0.0,0.0,24.59,24.83
-0.05,-0.06,0.89,-21.02,-1.04,-2.22,501,0.0,0.0,24.63,24.89
-0.05,-0.07,0.88,-21.27,-1.12,-2.04,504,0.0,0.0,24.63,24.89
-0.05,-0.06,0.89,-21.02,-0.95,-2.25,507,0.0,0.0,24.59,24.87
