SR. NO.,ACC_X,ACC_Y,ACC_Z,ROTATION_X,ROTATION_Y,ROTATION_Z,TEMP C lm35,TEMP F lm 35,galvanic skin response,Heartrate,bpm/SpO2
0,-0.03,-0.05,0.89,-18.46,-1.13,-2.15,13.62,56.51,514,0.00,0.00
1,-0.03,-0.04,0.89,-18.46,-0.92,-2.13,14.18,57.52,512,0.00,0.00
2,-0.03,-0.04,0.89,-18.70,-0.89,-2.22,12.41,54.33,514,0.00,0.00
3,-0.03,-0.04,0.89,-18.70,-0.82,-2.22,11.76,53.17,510,0.00,0.00
4,-0.03,-0.04,0.89,-18.58,-1.18,-2.09,11.36,52.45,511,0.00,0.00
5,-0.03,-0.04,0.88,-18.09,-1.06,-2.08,14.42,57.96,514,0.00,0.00
6,-0.03,-0.05,0.88,-18.46,-0.75,-2.17,13.13,55.64,512,0.00,0.00
7,-0.03,-0.04,0.89,-18.46,-0.90,-2.11,14.58,58.25,504,0.00,0.00
8,-0.03,-0.05,0.88,-18.58,-0.89,-2.40,12.49,54.48,519,0.00,0.00
9,-0.03,-0.04,0.89,-18.34,-1.08,-2.26,11.60,52.88,511,0.00,0.00
10,-0.03,-0.04,0.89,-18.58,-0.98,-2.11,14.99,58.97,508,0.00,0.00
11,-0.03,-0.04,0.89,-18.46,-0.92,-2.29,11.60,52.88,511,0.00,0.00
12,-0.03,-0.05,0.89,-18.70,-1.09,-2.36,14.74,58.54,515,0.00,0.00
13,-0.03,-0.05,0.89,-18.58,-0.76,-2.28,11.60,52.88,510,0.00,0.00
14,-0.03,-0.04,0.89,-18.46,-0.87,-2.24,11.52,52.74,512,0.00,0.00
15,-0.03,-0.04,0.89,-18.34,-1.05,-2.33,13.13,55.64,507,0.00,0.00
16,-0.03,-0.04,0.88,-18.58,-1.05,-2.27,14.18,57.52,510,0.00,0.00
17,-0.03,-0.05,0.89,-18.46,-1.02,-2.21,11.60,52.88,518,0.00,0.00
18,-0.03,-0.04,0.89,-18.46,-0.95,-2.18,14.99,58.97,510,0.00,0.00
19,-0.03,-0.05,0.90,-18.21,-0.93,-2.11,12.08,53.75,509,0.00,0.00
20,-0.03,-0.04,0.89,-18.34,-1.15,-2.30,14.74,58.54,507,0.00,0.00
21,-0.03,-0.05,0.89,-18.46,-0.97,-2.27,11.52,52.74,509,0.00,0.00
22,-0.03,-0.04,0.89,-18.34,-0.92,-2.28,11.84,53.32,507,0.00,0.00
23,-0.03,-0.05,0.88,-18.70,-1.02,-2.22,12.49,54.48,514,0.00,0.00
24,-0.03,-0.05,0.89,-18.46,-0.79,-2.03,14.74,58.54,508,0.00,0.00
25,-0.03,-0.05,0.89,-18.58,-1.09,-2.19,15.07,59.12,512,0.00,0.00
26,-0.03,-0.04,0.89,-18.34,-0.91,-2.15,11.12,52.01,505,0.00,0.00
27,-0.02,-0.04,0.90,-18.70,-0.97,-2.02,12.65,54.77,507,0.00,0.00
28,-0.03,-0.04,0.89,-18.34,-1.11,-2.28,12.97,55.35,512,0.00,0.00
29,-0.03,-0.04,0.89,-18.46,-0.93,-2.16,14.90,58.83,510,0.00,0.00
30,-0.03,-0.04,0.89,-18.34,-1.15,-2.27,12.97,55.35,512,0.00,0.00
31,-0.03,-0.04,0.88,-18.34,-1.21,-2.24,14.90,58.83,509,0.00,0.00
32,-0.03,-0.04,0.89,-18.70,-0.99,-2.21,14.18,57.52,517,0.00,0.00
33,-0.03,-0.04,0.89,-18.46,-1.06,-2.34,11.20,52.16,510,0.00,0.00
34,-0.03,-0.05,0.88,-18.58,-0.82,-2.34,15.71,60.28,508,0.00,0.00
35,-0.03,-0.04,0.89,-18.70,-0.83,-2.25,15.07,59.12,511,0.00,0.00
36,-0.03,-0.04,0.89,-18.21,-1.02,-2.16,11.20,52.16,513,0.00,0.00
37,-0.03,-0.04,0.89,-18.58,-0.94,-2.13,11.60,52.88,512,0.00,0.00
38,-0.03,-0.04,0.89,-18.46,-1.01,-2.20,10.63,51.14,510,0.00,0.00
39,-0.03,-0.05,0.89,-18.46,-0.97,-2.33,11.60,52.88,511,0.00,0.00
40,-0.03,-0.05,0.88,-18.58,-0.97,-2.21,11.28,52.30,513,0.00,0.00
41,-0.03,-0.04,0.88,-18.58,-0.83,-2.16,12.33,54.19,513,0.00,0.00
42,-0.03,-0.05,0.89,-18.58,-1.01,-2.25,21.67,71.01,510,0.00,0.00
